Faculty Name,# Pubs,Adj. #,University,Faculty Home Page,dblp
Radu Marculescu  eda,5.0,1.1,Carnegie Mellon University,https://www.ece.cmu.edu/directory/department/faculty/M/Radu_Marculescu_109.html,https://dblp.org/pers/hd/m/Marculescu:Radu
Illah R. Nourbakhsh  ai,5.0,1.5,Carnegie Mellon University,http://www.cs.cmu.edu/~illah,https://dblp.org/pers/hd/n/Nourbakhsh:Illah_R%3D
Rohan Padhye  se,5.0,1.5,Carnegie Mellon University,https://rohan.padhye.org,https://dblp.org/pers/hd/p/Padhye:Rohan
Ronald Rosenfeld  hci,5.0,0.9,Carnegie Mellon University,http://www.cs.cmu.edu/~roni,https://dblp.org/pers/hd/r/Rosenfeld:Ronald
Alan M. Frieze  theory,4.0,1.8,Carnegie Mellon University,https://www.math.cmu.edu/~af1p,https://dblp.org/pers/hd/f/Frieze:Alan_M%3D
David Garlan  se,4.0,1.0,Carnegie Mellon University,https://www.cs.cmu.edu/~garlan,https://dblp.org/pers/hd/g/Garlan:David
Mahadev Satyanarayanan  mobile,4.0,0.9,Carnegie Mellon University,https://www.cs.cmu.edu/~satya,https://dblp.org/pers/hd/s/Satyanarayanan:Mahadev
Daniel P. Siewiorek  hci,4.0,0.9,Carnegie Mellon University,https://www.cs.cmu.edu/~dps,https://dblp.org/pers/hd/s/Siewiorek:Daniel_P%3D
Vincent Aleven  hci,3.0,0.8,Carnegie Mellon University,http://www.cs.cmu.edu/~./aleven,https://dblp.org/pers/hd/a/Aleven:Vincent
Travis D. Breaux  se,3.0,0.5,Carnegie Mellon University,https://www.cs.cmu.edu/~breaux,https://dblp.org/pers/hd/b/Breaux:Travis_D%3D
Justine Cassell,3.0,0.8,Carnegie Mellon University,https://www.hcii.cmu.edu/people/justine-cassell,https://dblp.org/pers/hd/c/Cassell:Justine
Tai Sing Lee  ml,3.0,0.7,Carnegie Mellon University,http://www.cnbc.cmu.edu/~tai,https://dblp.org/pers/hd/l/Lee:Tai_Sing
Gary K. Fedder,2.0,0.4,Carnegie Mellon University,https://users.ece.cmu.edu/~fedder,https://dblp.org/pers/hd/f/Fedder:Gary_K%3D
Seth Copen Goldstein  robotics,2.0,0.5,Carnegie Mellon University,http://www.cs.cmu.edu/~seth,https://dblp.org/pers/hd/g/Goldstein:Seth_Copen
Seyoung Kim  ml,2.0,1.0,Carnegie Mellon University,http://www.cs.cmu.edu/~sssykim,https://dblp.org/pers/hd/k/Kim:Seyoung
Christopher J. Langmead  comp. bio,2.0,0.6,Carnegie Mellon University,http://www.cs.cmu.edu/~cjl,https://dblp.org/pers/hd/l/Langmead:Christopher_J%3D
Heather Miller,2.0,0.3,Carnegie Mellon University,http://heather.miller.am,https://dblp.org/pers/hd/m/Miller:Heather
Robert F. Murphy  comp. bio,2.0,0.6,Carnegie Mellon University,http://murphylab.web.cmu.edu,https://dblp.org/pers/hd/m/Murphy:Robert_F%3D
Frank Pfenning,2.0,0.7,Carnegie Mellon University,http://www.cs.cmu.edu/~fp,https://dblp.org/pers/hd/p/Pfenning:Frank
Stephen D. Brookes,1.0,0.3,Carnegie Mellon University,http://www.cs.cmu.edu/~brookes,https://dblp.org/pers/hd/b/Brookes:Stephen_D%3D
Randal E. Bryant,1.0,0.1,Carnegie Mellon University,http://www.cs.cmu.edu/~bryant,https://dblp.org/pers/hd/b/Bryant:Randal_E%3D
Michael A. Erdmann,1.0,0.1,Carnegie Mellon University,http://www.cs.cmu.edu/~me,https://dblp.org/pers/hd/e/Erdmann:Michael_A%3D
Rayid Ghani,1.0,0.3,Carnegie Mellon University,http://www.rayidghani.com,https://dblp.org/pers/hd/g/Ghani:Rayid
Bruce H. Krogh,1.0,0.2,Carnegie Mellon University,https://www.ece.cmu.edu/directory/details/89,https://dblp.org/pers/hd/k/Krogh:Bruce_H%3D
Jack Mostow,1.0,0.5,Carnegie Mellon University,http://www.cs.cmu.edu/~mostow,https://dblp.org/pers/hd/m/Mostow:Jack
Priya Narasimhan,1.0,0.2,Carnegie Mellon University,http://www.cs.cmu.edu/~priya,https://dblp.org/pers/hd/n/Narasimhan:Priya
Dana S. Scott,1.0,0.2,Carnegie Mellon University,http://www.cs.cmu.edu/~scott,https://dblp.org/pers/hd/s/Scott:Dana_S%3D
John C. Stamper,1.0,0.3,Carnegie Mellon University,https://www.hcii.cmu.edu/people/john-stamper,https://dblp.org/pers/hd/s/Stamper:John_C%3D
"Jiawei Han 0001  nlp  ,  web+ir",106.0,19.8,Univ. of Illinois at Urbana-Champaign,http://hanj.cs.illinois.edu,https://dblp.org/pers/hd/h/Han_0001:Jiawei
"Alexander G. Schwing  vision  ,  ml",95.0,26.3,Univ. of Illinois at Urbana-Champaign,http://www.alexander-schwing.de,https://dblp.org/pers/hd/s/Schwing:Alexander_G%3D
Heng Ji  nlp,93.0,20.7,Univ. of Illinois at Urbana-Champaign,http://blender.cs.illinois.edu/hengji.html,https://dblp.org/pers/hd/j/Ji:Heng
Bo Li 0026  ml,66.0,12.8,Univ. of Illinois at Urbana-Champaign,http://boli.cs.illinois.edu,https://dblp.org/pers/hd/l/Li_0026:Bo
Josep Torrellas  arch,58.0,14.3,Univ. of Illinois at Urbana-Champaign,http://iacoma.cs.uiuc.edu/josep/torrellas.html,https://dblp.org/pers/hd/t/Torrellas:Josep
